,Battalion,mean,median,sum,std,max,min
0,3E,57.5,57.5,115.0,20.506096654409877,72.0,43.0
1,B01,154.10446232482101,114.0,46942839.0,251.048619731939,25336.0,1.0
2,B02,157.22143059079244,116.0,85642601.0,260.2497233546142,33459.0,1.0
3,B03,159.48219339645516,119.0,82214825.0,284.2672759524133,58382.0,1.0
4,B04,159.08461650809548,119.0,45747645.0,294.5923529936988,65681.0,1.0
5,B05,153.91599531582884,114.0,32727312.0,295.96873009641564,55819.0,1.0
6,B06,156.73371860413425,114.0,33141815.0,389.73509907712923,99446.0,1.0
7,B07,160.3053457536086,118.0,22922382.0,303.2275824988152,35698.0,1.0
8,B08,157.66657574104383,118.0,36414357.0,294.85041434548924,45448.0,1.0
9,B09,152.50023276008702,113.0,34069467.0,295.89512623394387,44879.0,1.0
10,B10,154.22226416472853,113.0,37995585.0,283.6117275346905,42775.0,1.0
11,B99,192.77195038577986,138.0,1973792.0,273.7993895792078,6917.0,1.0
